ID,CALENDAR_ID,Literal_Time_start,LONGITUDE_start,LATITUDE_start,Literal_Time_end,LONGITUDE_end,LATITUDE_end,ROUTE_ABBR,DIRECTION,SERV_DAY_start,SERV_DAY_end,MESSAGE_COUNT
120161005-2646-06,120161005,2016-10-05 12:14:04.960000,-931681327,450122748,2016-10-05 12:56:56.167000,-932204922,449213056,921.0,1.0,Weekday,Weekday,60
120161005-2646-07,120161005,2016-10-05 12:57:11.500000,-932208505,449209420,2016-10-05 13:43:46.240000,-931685149,450125898,921.0,4.0,Weekday,Weekday,65
120161005-2646-08,120161005,2016-10-05 13:44:08.453000,-931681374,450122736,2016-10-05 14:26:38.100000,-932204543,449212789,921.0,1.0,Weekday,Weekday,61
120161005-2646-09,120161005,2016-10-05 14:27:10.407000,-932208310,449209374,2016-10-05 15:13:23.163000,-931685508,450125976,921.0,4.0,Weekday,Weekday,63
120161005-2646-10,120161005,2016-10-05 15:14:20.777000,-931680967,450122880,2016-10-05 15:57:07.617000,-932204714,449212695,921.0,1.0,Weekday,Weekday,61
120161005-2646-11,120161005,2016-10-05 15:57:34.213000,-932208526,449209308,2016-10-05 16:41:55.937000,-931685293,450125950,921.0,4.0,Weekday,Weekday,66
120161005-2646-12,120161005,2016-10-05 16:42:53.243000,-931681564,450122736,2016-10-05 17:25:10.157000,-932205024,449212460,921.0,1.0,Weekday,Weekday,63
120161005-2646-13,120161005,2016-10-05 17:26:01.763000,-932208909,449209709,2016-10-05 18:11:58.567000,-931683793,450127452,921.0,4.0,Weekday,Weekday,61
120161005-2646-14,120161005,2016-10-05 18:12:46.583000,-931680612,450122906,2016-10-05 18:55:27.043000,-932207425,449213176,921.0,1.0,Weekday,Weekday,69
120161005-2646-15,120161005,2016-10-05 18:55:35.950000,-932209013,449210899,2016-10-05 19:41:32.270000,-931684646,450125626,921.0,4.0,Weekday,Weekday,96
